Pulp Quality (Index),Paper Basis Weight (g/m²),Sheet Count per Roll,Drying Temperature (°C),Nip Pressure (kPa),Electrical Drive Load (%),Pump Flow Rate (m³/hr),Shift,Energy (kWh)
92.64052345967664,156.69666530614626,113.84380792133635,163.0653915598901,1186.0691889788336,67.89509978611963,18.074547835744895,Morning,736.9291725239294
79.00157208367223,178.13445387686778,85.47509539749521,161.90157877085682,907.5912522980914,81.94807844,34.259147159379715,Afternoon,1072.9435345987624
84.78737984105739,186.78851662182075,137.8787250222208,182.59585848298354,1366.1196864779577,86.43140894023473,27.500282189190877,Morning,1042.0955494838245
97.40893199201457,201.26325232145007,142.21870138544776,185.3815386021155,1242.700337516282,84.89660705354062,17.244138617809732,Evening,886.9429693922307
93.67557990149967,159.46951071129018,112.47166915652805,196.9816198497192,973.5919719272172,69.22506431179039,33.72135629670571,Evening,1044.4248633179013
65.22722120123589,180.81614630766887,99.13400124890276,166.06113968832676,1363.7386056721812,85.52529380306925,20.660609714456438,Night,941.5764918
84.50088417525589,198.69563279961426,134.4449950177214,166.76472316499428,1356.570184464792,87.88416143,33.11814574269872,Evening,1112.3825639246738
73.48642791702302,194.3021385221278,125.64656829695542,199.09361662021868,1163.0209008996476,69.82588326079092,30.298476894405116,Morning,1007.381016694238
73.96781148206442,155.88258117546397,132.40462520869812,171.67230740959852,1010.2617116810706,81.51302205914352,34.68706101638659,Night,1149.6888186093693
79.10598501938372,173.55058031350214,110.00248179904355,176.01536628534498,1013.6419067996327,81.06420902719285,16.40105476891379,Morning,821.7748623363013
76.44043571160879,153.349435,129.91940431175402,184.6224160487473,1049.7452059416858,89.86328294752204,32.49708295061341,Night,1195.2747280132467
89.54273506962976,160.4732085595097,112.43629396056471,186.73362479471373,1153.7398562953015,89.22452626014666,26.038745487359982,Morning,1037.1983196414449
82.61037725146994,164.63183055615093,123.13802557089417,193.9746933163014,1367.5885581809825,79.45756474185552,23.105126180352322,Evening,944.9575694773345
76.21675016492829,179.06283474690753,102.25022257041192,178.76251530854594,923.8797118844433,76.04852343488649,26.606433861037132,Night,993.6527487999722
79.43863232745426,185.0588526373433,112.2952096072092,160.91551379073053,1491.2308443413062,61.89823589696371,17.226488506030865,Afternoon,687.7325371538345
78.33674327374267,207.6016371653804,102.45996382031782,172.4671662457305,1059.2848987073428,62.49948432440138,27.000347388776838,Evening,858.4900143900386
89.94079073157606,204.43909195619912,131.70532755450876,178.49477299843224,1353.206019289923,68.21292840057228,34.464597174439916,Afternoon,1025.7860909591102
72.94841736234198,184.99750601658107,92.98465843736858,177.88684372981797,1105.7094919051904,74.12762114051898,20.156917108977066,Night,876.4372255509198
78.13067701650901,171.66190791534888,126.6041621522271,194.77927830067182,1290.1263180556332,67.06150340091052,23.172475323474064,Evening,868.6583383249668
66.45904260698275,159.30201785631192,126.52944066916027,174.06872607897884,1036.8903794760452,65.36521481743164,26.084749329231876,Night,903.6421067385645
49.470101841659215,211.83614390216675,145.45505315051412,178.21150325536766,1155.6059652833658,69.97129822324314,23.439822964921888,Evening,870.6316952357527
81.53618595,181.93963318383572,140.00545812687275,185.17124733915725,1416.057340111739,61.53475041981475,17.151292328084374,Afternoon,729.2430208036766
